W5d8eZGSm9MZt9m9QRuzvJrDrrHGPpGiNScToEgPbnTDXD5,5CD2hMbBfXWFM47vf6ynyG9a8p9AJB7XhAwUE62pXEnVdWQa,120,0.1457,120,0.146,120,0.137,120,0.12,120,0.1111,120,0.1101,120,0.107,0.8773
W5nsCd3Ty296QC8prUdgDbpe6pka5AuoNQTDZGegMtJrsSF,5CDCRuexgjP2saAJLZ2WeZSYZ47dbrUAnAuJyr4noztMGv7S,134,0.1627,,,,,,,,,,,,,0.1627
W5rUBDfdzQLanK8d5R1joG9vB276KhaXuM78t74KHvRMVSd,5CDG2tFarkmEMxHJ8mxti96sq8Jz86zqWhqxuAuCSvvTmUmW,,,,,,,2000,2.0004,2000,1.8532,2000,1.8358,2000,1.7844,7.474
W6TgwhHvtuESB5hRJSHYaeoH1iUHtrm5NvimuJjMXztzxEz,5CDsFejD9fG8DM3rvzzAWvVXBy1MKgA24BRaYC6sVAzwQpQt,635.5547,0.7719,635.5547,0.7736,635.5547,0.726,635.5547,0.6357,635.5547,0.5889,635.5547,0.5834,635.5547,0.567,4.6467
W7yacJz2FxyBL5n3tMKUFB96EsbRmfApHACM1Qu8MU5Cr57,5CFP9KLuF2KrxW3wZauCSb1s1CAUTYxRo5f47JD3FzU7cZbw,116,0.1409,116,0.1412,116,0.1325,116,0.116,116,0.1074,116,0.1064,116,0.1034,0.8481
W8LuPm4DeDevtSvg8mDx4VDjUJ1jCBgpoHF9Pzdr34ETCcS,5CFkU6nySQaYi4R6BqK6vQKweRatkyUwobn6ugnmyg4GsF9U,220.9169,0.2683,220.9169,0.2689,220.9169,0.2523,220.9169,0.2209,220.9169,0.2047,220.9169,0.2027,220.9169,0.1971,1.6152
W8aG72c4Mn2CSykCXyomSAkodku37PnA7XsYbUxf1ZYza9B,5CFypp4XH88uycwuiEXgjn1Uib3n4th38v2jJtH6neZbQicY,172.7982,0.2098,172.7982,0.2103,172.7982,0.1974,172.7982,0.1728,172.7982,0.1601,172.7982,0.1586,172.7982,0.1541,1.2633
W8bdkEwwh2DZis7snCgq1CmJZuij3KF2Xr57wR8T8iqGQwn,5CG1CTGsATP7LtqHPUkZoM3VDXCbkpcW1LLvtEDGamisgFrX,600,0.7287,600,0.7303,600,0.6854,600,0.6001,600,0.5559,610,0.5599,610,0.5442,4.4049
W8diUPj3mEvPvhSNS2bHUJSPhCTD69nCg9p479VaZhYJYtt,5CG3HBReGXbpB6fbt8aUFp9AJeVLEsT3BUefpPwdiChaidFu,100,0.1214,148,0.1801,148,0.169,148,0.148,148,0.1371,148,0.1358,148,0.132,1.0237
WAXb2uB2BhTfC3SMKGQg6XMtqEfBgLXA1eq1AUpv8Z2KVuR,5CHw9jw6Ex4MSN1bs1pHeSN5onXYDTdn8p9gmTGy3mZ4jS21,660,0.8016,660,0.8034,660,0.7539,660,0.6601,660,0.6115,660,0.6058,660,0.5888,4.8255
WAaqiXjS5dgoXejUEDVcCp7oVoPjxdJnHf4aD3ZH3p2P8Q1,5CHzQRZeeqzaahctyvmNaYeqiT6GmjvZm69vLVqhQgp4nwpA,8000,9.7172,8000,9.7385,8000,9.139,,,,,,,,,28.5949
WAzFSr3ZTJJETXvDMxEfKQ5JFXas27DVWGQhQPFjQnvKdzJ,5CJPp9sxnDfC1dW5j4W7dfEoDCpTtoQUUJmGThBPs3nxjYmh,,,,,150,0.1713,150,0.15,150,0.1389,150,0.1376,150,0.1338,0.7319
WBZjwfNzBMSWH1doaYRU9xYJv8hGMS1XoSLKmHHVY5117i9,5CJyJehJCwiLHSyoKH6JSVoGDsRaJ8jGWbwC645RdB53QyA9,10796,13.1134,10796,13.1422,,,,,,,,,,,26.2556
WBhPRFGp4kz3qUeLvwffk7TJDQLTTfXT2JVFeAGYZzQhJyi,5CK6x8HC2q7sq1SordVYe5xBDAhDVExnRpoM1vxQgCzT7Xuz,100,0.1214,100,0.1217,100,0.1142,100,0.1,100,0.0926,100,0.0917,100,0.0892,0.7311
WDBt2xcNBpSJs4uzvqHh47izZj31GsM65vz8CqNR7PgCsBC,5CLbSjzXaxBL6335WdPAfPxSuX1v34Ac4tRqtVdWYkPicdtp,100,0.1214,100,0.1217,100,0.1142,100,0.1,100,0.0926,100,0.0917,100,0.0892,0.7311
WDHVVSp5cNPw6Lus13T1MeTCrSaXv4uxa1KzMjQgTQvLwKL,5CLh4CUjJNjHiGK5NhbKyhVB7ojTZhNAwNWBkeXYp6QxkrQr,370,0.4494,,,,,,,,,,,,,0.4494
WDScFWrMSpDF6NvFNLZ3j4uiCNK9kPpm2iV6deGkSRSyEnE,5CLrAxYmaDB72GM5m4tS24udd9fCBXh5jqDLrvSQt5RVPGbK,719,0.8733,719,0.8752,719,0.8213,719,0.7191,719,0.6662,719,0.6599,719,0.6414,5.2568
WDZ37UhQDVaa4WLPvY9cWVLorvWw1uFqaowMKaybN9MrWoU,5CLxbpWccyrUMEUVud62arL4ipDPxoCWpPJo7cP7j19QGXzD,124.5139,0.1512,124.5139,0.1515,124.5139,0.1422,124.5139,0.1245,124.5139,0.1153,124.5139,0.1142,124.5139,0.111,0.9103
WDavWY74g9Ta6cFvxp3dhyuy6zsbyqELmCTcBcopMoCbMWL,5CLzVDa2HSWMMGaRSfMvc3pdt4Hkdm8VKZhKNUQwwzoF1Lnn,139,0.1688,139,0.1692,139,0.1587,139,0.139,139,0.1288,139,0.1275,139,0.124,1.0162
WDcGigZ5XPkJk6XAE4XnDDgHvP1CyY1V4iqwx5zBWteGdeq,5CM1qRiUJHke5v4gfvcQkZ4QCsftEkqGTsDhiEt8K9tggjmr,123.5,0.15,123.5,0.1503,123.5,0.141,123.5,0.1235,123.5,0.1144,123.5,0.1133,123.5,0.1101,0.9029
WDq9WKwrHx2gCpyAuJ7egpteS5MEuKv8X7c58EDXxnjwDN6,5CMEiDMs54JvTNo8gbqzd2fcZPNEGgdB7KcTqR2MfbnnMPJD,123.5546,0.15,123.5546,0.1504,123.5546,0.1411,123.5546,0.1235,123.5546,0.1144,123.5546,0.1134,123.5546,0.1102,0.9033
